 ,hi,en
w1,",d",a
w2,NksM+ nsuk,abandon
w3,;ksX;rk,ability
w4,;ksX;,able
w5,xHkZikr,abortion
w6,ds ckjs esa,about
w7,Åij,above
w8,fons'k esa,abroad
w9,vuqifLFkfr,absence
w10,iw.kZ,absolute
w11,iw.kZ :i ls,absolutely
w12,lks[k ysuk,absorb
w13,xkyh,abuse
w14, 'kSf{kd,academic
w15,Lohdkj djuk,accept
w16,igqap,access
w17,nq?kZVuk,accident
w18,lkFk,accompany
w19,iwjk,accomplish
w20,vuqlkj,according
w21,ys[kk,account
w22, 'kq),accurate
w23,vkjksi,accuse
w24,çkIr,achieve
w25,miyfC/k,achievement
w26,vEy,acid
w27,Lohdkj djrs gSa,acknowledge
w28,vf/kxzg.k,acquire
w29,vkj&ikj,across
w30,vf/kfu;e,act
w31,dk;Z,action
w32,lfØ;,active
w33,dk;ZdrkZ,activist
w34,xfrfof/k,activity
w35,vfHkusrk,actor
w36,vfHkus=h,actress
w37,okLrfod,actual
w38,okLro esa,actually
w39,foKkiu,ad
w40,vuqdwy cukuk,adapt
w41,tksM+uk,add
w42,blds vykok,addition
w43,vfrfjä,additional
w44,irk,address
w45,i;kZIr,adequate
w46,lek;ksftr,adjust
w47,lek;kstu,adjustment
w48, 'kklu çca/k,administration
w49,ç'kkld,administrator
w50,ç'kalk,admire
w51,nkf[kyk,admission
w52,Lohdkj djuk,admit
w53,fd'kksj,adolescent
w54,viukuk,adopt
w55,o;Ld,adult
w56,vfxze,advance
w57,mUur,advanced
w58,Qk;nk,advantage
w59,lkgfld,adventure
w60,foKkiu,advertising
w61,lykg,advice
w62,lykg nsuk,advise
w63,lykgdkj,adviser
w64,odhy,advocate
w65,ekeyk,affair
w66,dks çHkkfor,affect
w67,cnkZ'r,afford
w68,Mjk gqvk,afraid
w69,v¶jhdh,African
w70,vÝhdh vesfjdh,African-American
w71,ckn,after
w72,nksigj,afternoon
w73,fQj,again
w74,fo#),against
w75,vk;q,age
w76,",tsalh",agency
w77,dk;Zlwph,agenda
w78,",tsaV",agent
w79,vkØked,aggressive
w80,iwoZ,ago
w81,bl ckr ls lger,agree
w82,le>kSrk,agreement
w83,[ksrh laca/kh,agricultural
w84,vkg,ah
w85,vkxs,ahead
w86,lgk;rk,aid
w87,lg;ksxh,aide
w88,",M~l",AIDS
w89,y{;,aim
w90,ok;q,air
w91,gokbZ tgkt,aircraft
w92,",;jykbu",airline
w93,gokbZ vìk,airport
w94,",Yce",album
w95, 'kjkc,alcohol
w96,ftank,alive
w97,lc,all
w98,laf/k,alliance
w99,vuqefr nsrs gSa,allow
w100,fe=,ally
w101,yxHkx,almost
w102,vdsyk,alone
w103,lkFk esa,along
w104,igys ls,already
w105,Hkh,also
w106,cnyuk,alter
w107,fodYi,alternative
w108,gkykafd,although
w109,ges'kk,always
w110,xtc dk,amazing
w111,vesfjdu,American
w112,ds chp esa,among
w113,jde,amount
w114,"fo'ys""k.k",analysis
w115,"fo'ys""kd",analyst
w116,"fo'ys""k.k",analyze
w117,çkphu,ancient
w118,rFkk,and
w119,xqLlk,anger
w120,dks.k,angle
w121,xqLlk,angry
w122,tkuoj,animal
w123,lkyfxjg,anniversary
w124,"?kks""k.kk",announce
w125,"okf""kZd",annual
w126,",d vkSj",another
w127,mÙkj,answer
w128,vk'kk,anticipate
w129,fpark,anxiety
w130,dksbZ Hkh,any
w131,dksbZ,anybody
w132,fdlh dks,anyone
w133,dqN Hkh,anything
w134,oSls Hkh,anyway
w135,dgha Hkh,anywhere
w136,vyx,apart
w137,¶ySV,apartment
w138,"Li""V",apparent
w139,tkfgjk rkSj ij,apparently
w140,çrhr gksuk,appear
w141,fn[kkoV,appearance
w142,lsc,apple
w143,vkosnu,application
w144,ykxw djsa,apply
w145,fu;qä djuk,appoint
w146,fu;qfä,appointment
w147,ljkguk,appreciate
w148,igqap,approach
w149,mi;qä,appropriate
w150,vuqeksnu,approval
w151,eatwj,approve
w152,yxHkx,approximately
w153,vjc,Arab
w154,okLrqdkj,architect
w155,{ks=,area
w156,rdZ,argument
w157,mBrk,arise
w158,ckag,arm
w159,gfFk;kjcan,armed
w160,lsuk,army
w161,pkjksa vksj,around
w162,O;oLFkk,arrange
w163,O;oLFkk,arrangement
w164,fxj¶rkj djuk,arrest
w165,igqpuk,arrival
w166,vkus,arrive
w167,dyk,art
w168,ys[k,article
w169,dykdkj,artist
w170,dykRed,artistic
w171,tSlk,as
w172,",f'k;kbZ",Asian
w173,vyx,aside
w174,iwNuk,ask
w175,igyw,aspect
w176,geyk,assault
w177,tksj,assert
w178,vkdyu,assess
w179,ewY;kadu,assessment
w180,laifÙk,asset
w181,lkSaiuk,assign
w182,lgk;rk,assist
w183,lgk;rk,assistance
w184,lgk;d,assistant
w185,lkFkh,associate
w186,laxfr,association
w187,eku yhft;s,assume
w188,dYiuk,assumption
w189,vk'oklu,assure
w190,ij,at
w191,ok;qeaMy,atmosphere
w192,layXu djsa,attach
w193,vkØe.k,attack
w194,ç;kl,attempt
w195,Hkkx ysus ds,attend
w196,/;ku,attention
w197,joS;k,attitude
w198,"vkdf""kZr",attract
w199,eksg ysus okyk,attractive
w200,xq.k,attribute
w201,n'kZd,audience
w202,ys[kd,author
w203,vf/kdkj,authority
w204,miyC/k,available
w205,vkSlr,average
w206,Vkyuk,avoid
w207,iqjLdkj,award
w208,voxr,aware
w209,tkx:drk,awareness
w210,nwj,away
w211,Hk;adj,awful
w212,cPpk,baby
w213,okil,back
w214,"i`""BHkwfe",background
w215,[kjkc,bad
w216,cqjh rjg,badly
w217,lsaduk,bake
w218,larqyu,balance
w219,xsan,ball
w220,çfrca/k,ban
w221,eqf'dy ls,barely
w222,vojks/k,barrier
w223,vk/kkj,base
w224,cqfu;knh,basic
w225,ewy :i ls,basically
w226,vk/kkj,basis
w227,Vksdjh,basket
w228,yM+kbZ,battle
w229,leqæ rV,beach
w230,Hkkyw,bear
w231,gjkuk,beat
w232,lqanj,beautiful
w233,lqanjrk,beauty
